,Date,Time,City,Type
,2015-09-02,09:22:01,Edgewater,106 E Breathin
,2015-09-02,10:25:00,Burl Twp,117 E Falls
,2015-09-02,13:43:19,"Beverly
C",106 E Breathin
,2015-09-02,17:09:43,Edgewater,125 E Psychiat
,2015-09-02,22:32:10,Burl City,132 E UnkMedEmrg
,2015-09-03,23:20:08,Burl City,129 E AccInjry
,2015-09-03,00:46:58,Burl Twp,117 E Falls
,2015-09-03,06:29:54,Burl Twp,131 E Uncon
,2015-09-03,08:05:24,Springfld,119 E Heart
,2015-09-03,08:49:01,Burl Twp,117 E Falls
,2015-09-03,10:14:15,Burl Twp,125 E Psychiat
,2015-09-03,10:33:28,Burl Twp,17 F Fumes
,2015-09-03,11:23:11,Beverly,101 E AbdmPain
,2015-09-03,11:30:55,Burl Twp,117 E Falls
,2015-09-03,12:09:54,Burl Twp,129 E AccInjry
,2015-09-03,13:55:30,Burl Twp,131 E Uncon
,2015-09-03,14:15:14,Burl Twp,132 E UnkMedEmrg
,2015-09-03,15:33:42,Burl Twp,129 E AccInjry
,2015-09-03,16:10:23,Florence,106 E Breathin
,2015-09-03,16:26:20,Burl City,112 E Convulsn
,2015-09-03,16:26:20,Burl City,112 E Convulsn
,2015-09-03,17:52:44,Burl City,125 E Psychiat
,2015-09-03,20:03:53,Burl City,110 E ChestPain
,2015-09-03,20:55:16,Edgewater,106 E Breathin
,2015-09-03,22:00:03,Burl City,132 E UnkMedEmrg
,2015-09-03,22:06:47,Edgewater,113 E Diabetic
,2015-09-04,04:50:52,Burl City,101 E AbdmPain
,2015-09-04,10:53:40,Burl City,117 E Falls
,2015-09-04,12:48:41,Burl City,128 E Stroke
,2015-09-04,13:22:28,Burl City,132 E UnkMedEmrg
,2015-09-04,14:24:38,Burl Twp,132 E UnkMedEmrg
,2015-09-04,14:03:30,Burl Twp,131 E Uncon
,2015-09-04,14:59:29,Burl City,129 E AccInjry
,2015-09-04,14:29:47,Burl Twp,117 E Falls
,2015-09-04,:  :,Burl City,132 E UnkMedEmrg
,2015-09-04,15:30:31,Burl City,129 E AccInjry
,2015-09-04,16:23:48,Florence,132 E UnkMedEmrg
,2015-09-04,18:18:10,Burl Twp,132 E UnkMedEmrg
,2015-09-04,20:19:09,Burl Twp,134 E SpclAssn
,2015-09-04,20:31:12,Burl Twp,129F E Mva/Fire
,2015-09-04,22:22:42,Burl City,131 E Uncon
,2015-09-04,22:51:16,Willingbor,132 E UnkMedEmrg
,2015-09-05,23:51:04,Burl City,130 E Trauma
,2015-09-05,00:21:15,Burl Twp,112 E Convulsn
,2015-09-05,00:32:09,Burl Twp,131 E Uncon
,2015-09-05,00:38:46,Burl Twp,132 E UnkMedEmrg
,2015-09-05,01:38:52,Burl City,124 E Pregnant
,2015-09-05,02:30:01,Burl Twp,110 E ChestPain
,2015-09-05,05:47:48,Edgewater,125 E Psychiat
,2015-09-05,08:23:00,Burl City,132 E UnkMedEmrg
,2015-09-05,12:24:42,Edgewater,104 E AsltRape
,2015-09-05,13:23:26,Burl Twp,105 E BackPain
,2015-09-05,14:04:58,Burl City,106 E Breathin
,2015-09-05,14:19:55,Florence,106 E Breathin
,2015-09-05,15:16:40,Burl Twp,117 E Falls
,2015-09-05,14:20:31,Florence,15 F Rubbish
,2015-09-05,16:06:45,Burl City,126 E SickPers
,2015-09-05,18:01:36,Burl Twp,110 E ChestPain
,2015-09-05,21:16:40,Burl City,110 E ChestPain
,2015-09-05,22:12:48,Burl Twp,104 E AsltRape
,2015-09-05,22:24:46,Beverly,123 E Overdose
,2015-09-06,00:42:29,Burl City,104 E AsltRape
,2015-09-06,03:22:48,Burl City,125 E Psychiat
,2015-09-06,05:07:03,Burl City,110 E ChestPain
,2015-09-06,06:23:03,Burl Twp,110 E ChestPain
,2015-09-06,08:07:29,Edgewater,131 E Uncon
,2015-09-06,10:20:40,Burl City,112 E Convulsn
,2015-09-06,12:17:00,Burl Twp,109 E Arrest
,2015-09-06,12:57:03,Burl City,129 E AccInjry
,2015-09-06,13:11:48,Edgewater,132 E UnkMedEmrg
,2015-09-06,14:42:40,Burl City,119 E Heart
,2015-09-06,18:32:35,Edgewater,106 E Breathin
,2015-09-06,21:23:35,Burl Twp,125 E Psychiat
,2015-09-06,21:17:38,Burl City,104 E AsltRape
,2015-09-06,23:01:53,Burl Twp,111 E Choking
,2015-09-07,01:49:05,Burl Twp,123 E Overdose
,2015-09-07,01:29:08,Burl Twp,132 E UnkMedEmrg
,2015-09-07,01:49:05,Burl Twp,123 E Overdose
,2015-09-07,04:15:19,Edgewater,125 E Psychiat
,2015-09-07,05:35:31,Edgewater,132 E UnkMedEmrg
,2015-09-07,09:41:39,Edgewater,101 E AbdmPain
,2015-09-07,09:25:46,Burl Twp,101 E AbdmPain
,2015-09-07,09:56:56,Burl Twp,106 E Breathin
,2015-09-07,10:37:54,Burl City,132 E UnkMedEmrg
,2015-09-07,17:22:48,Burl Twp,106 E Breathin
,2015-09-07,18:56:07,Burl City,131 E Uncon
,2015-09-07,21:43:30,Willingbor,101 E AbdmPain
,2015-09-08,00:27:12,Burl City,106 E Breathin
,2015-09-08,04:22:17,Edgewater,125 E Psychiat
,2015-09-08,11:31:59,Burl City,117 E Falls
,2015-09-08,11:19:54,Burl Twp,119 E Heart
,2015-09-08,10:53:03,Burl City,129 E AccInjry
