,Date,Time,City,Type
,2020-12-30,09:53:51,Burlington City,RESPIRATORY/ BREATHING 
,2020-12-30,11:53:07,Burlington City,MEDICAL EMER 
,2020-12-30,11:41:26,Burlington City,HEART 
,2020-12-30,13:17:20,Burlington City,OVERDOSE/POISONING 
,2020-12-30,13:22:17,Willingboro Twp,STROKE 
,2020-12-30,12:51:41,Willingboro Twp,BACK PAIN 
,2020-12-30,14:18:26,Burlington Twp,MEDICAL EMER 
,2020-12-30,16:10:34,Burlington Twp,ABDOMINAL PAIN 
,2020-12-30,15:56:18,Burlington Twp,FALL/ FRACTURE 
,2020-12-30,16:59:16,,STROKE 
,2020-12-30,17:40:04,Delanco Twp,ABDOMINAL PAIN 
,2020-12-30,18:36:03,Burlington City,RESPIRATORY/ BREATHING 
,2020-12-30,19:12:21,Burlington Twp,MEDICAL EMER 
,2020-12-30,20:19:58,Burlington Twp,UNCONSCIOUS 
,2020-12-30,22:09:37,Burlington City,HEART 
